date,county,state,fips,cases,deaths
2020-12-07,Abbeville,South Carolina,45001,1036,23
2020-12-07,Aiken,South Carolina,45003,6892,105
2020-12-07,Allendale,South Carolina,45005,456,9
2020-12-07,Anderson,South Carolina,45007,8741,239
2020-12-07,Bamberg,South Carolina,45009,779,38
2020-12-07,Barnwell,South Carolina,45011,1025,26
2020-12-07,Beaufort,South Carolina,45013,7519,94
2020-12-07,Berkeley,South Carolina,45015,7475,105
2020-12-07,Calhoun,South Carolina,45017,582,19
2020-12-07,Charleston,South Carolina,45019,20783,301
2020-12-07,Cherokee,South Carolina,45021,2291,69
2020-12-07,Chester,South Carolina,45023,1703,38
2020-12-07,Chesterfield,South Carolina,45025,1866,55
2020-12-07,Clarendon,South Carolina,45027,1440,70
2020-12-07,Colleton,South Carolina,45029,1543,51
2020-12-07,Darlington,South Carolina,45031,3242,77
2020-12-07,Dillon,South Carolina,45033,1632,53
2020-12-07,Dorchester,South Carolina,45035,6269,115
2020-12-07,Edgefield,South Carolina,45037,1257,24
2020-12-07,Fairfield,South Carolina,45039,1090,46
2020-12-07,Florence,South Carolina,45041,7182,222
2020-12-07,Georgetown,South Carolina,45043,2899,68
2020-12-07,Greenville,South Carolina,45045,25990,425
2020-12-07,Greenwood,South Carolina,45047,3278,86
2020-12-07,Hampton,South Carolina,45049,884,35
2020-12-07,Horry,South Carolina,45051,15790,276
2020-12-07,Jasper,South Carolina,45053,1098,23
2020-12-07,Kershaw,South Carolina,45055,3107,69
2020-12-07,Lancaster,South Carolina,45057,3721,70
2020-12-07,Laurens,South Carolina,45059,2676,69
2020-12-07,Lee,South Carolina,45061,907,40
2020-12-07,Lexington,South Carolina,45063,12199,236
2020-12-07,Marion,South Carolina,45067,1389,49
2020-12-07,Marlboro,South Carolina,45069,1535,20
2020-12-07,McCormick,South Carolina,45065,356,8
2020-12-07,Newberry,South Carolina,45071,2236,68
2020-12-07,Oconee,South Carolina,45073,3722,44
2020-12-07,Orangeburg,South Carolina,45075,4008,138
2020-12-07,Pickens,South Carolina,45077,7216,96
2020-12-07,Richland,South Carolina,45079,21507,306
2020-12-07,Saluda,South Carolina,45081,828,27
2020-12-07,Spartanburg,South Carolina,45083,13790,299
2020-12-07,Sumter,South Carolina,45085,4412,103
2020-12-07,Union,South Carolina,45087,1184,32
2020-12-07,Williamsburg,South Carolina,45089,1724,52
2020-12-07,York,South Carolina,45091,10840,148
