date,county,state,fips,cases,deaths,college_all,college
12/7/2020,Abbeville,South Carolina,45001,1036,23,,
12/7/2020,Aiken,South Carolina,45003,6892,105,,
12/7/2020,Allendale,South Carolina,45005,456,9,,
12/7/2020,Anderson,South Carolina,45007,8741,239,Tri-County Technical College,
12/7/2020,Bamberg,South Carolina,45009,779,38,,
12/7/2020,Barnwell,South Carolina,45011,1025,26,,
12/7/2020,Beaufort,South Carolina,45013,7519,94,,
12/7/2020,Berkeley,South Carolina,45015,7475,105,,
12/7/2020,Calhoun,South Carolina,45017,582,19,,
12/7/2020,Charleston,South Carolina,45019,20783,301,"College of Charleston, Medical University of SC, The Citadel",College of Charleston*
12/7/2020,Cherokee,South Carolina,45021,2291,69,,
12/7/2020,Chester,South Carolina,45023,1703,38,,
12/7/2020,Chesterfield,South Carolina,45025,1866,55,,
12/7/2020,Clarendon,South Carolina,45027,1440,70,,
12/7/2020,Colleton,South Carolina,45029,1543,51,,
12/7/2020,Darlington,South Carolina,45031,3242,77,,
12/7/2020,Dillon,South Carolina,45033,1632,53,,
12/7/2020,Dorchester,South Carolina,45035,6269,115,,
12/7/2020,Edgefield,South Carolina,45037,1257,24,,
12/7/2020,Fairfield,South Carolina,45039,1090,46,,
12/7/2020,Florence,South Carolina,45041,7182,222,,
12/7/2020,Georgetown,South Carolina,45043,2899,68,,
12/7/2020,Greenville,South Carolina,45045,25990,425,Greenville Technical College,
12/7/2020,Greenwood,South Carolina,45047,3278,86,,
12/7/2020,Hampton,South Carolina,45049,884,35,,
12/7/2020,Horry,South Carolina,45051,15790,276,Coastal Carolina College,
12/7/2020,Jasper,South Carolina,45053,1098,23,,
12/7/2020,Kershaw,South Carolina,45055,3107,69,,
12/7/2020,Lancaster,South Carolina,45057,3721,70,,
12/7/2020,Laurens,South Carolina,45059,2676,69,,
12/7/2020,Lee,South Carolina,45061,907,40,,
12/7/2020,Lexington,South Carolina,45063,12199,236,,
12/7/2020,Marion,South Carolina,45067,1389,49,,
12/7/2020,Marlboro,South Carolina,45069,1535,20,,
12/7/2020,McCormick,South Carolina,45065,356,8,,
12/7/2020,Newberry,South Carolina,45071,2236,68,,
12/7/2020,Oconee,South Carolina,45073,3722,44,,
12/7/2020,Orangeburg,South Carolina,45075,4008,138,,
12/7/2020,Pickens,South Carolina,45077,7216,96,Clemson University,Clemson University
12/7/2020,Richland,South Carolina,45079,21507,306,University of South Carolina,University of South Carolina
12/7/2020,Saluda,South Carolina,45081,828,27,,
12/7/2020,Spartanburg,South Carolina,45083,13790,299,"Wofford, USC Upstate",
12/7/2020,Sumter,South Carolina,45085,4412,103,,
12/7/2020,Union,South Carolina,45087,1184,32,,
12/7/2020,Williamsburg,South Carolina,45089,1724,52,,
12/7/2020,York,South Carolina,45091,10840,148,,
